Date,momentum,value,quality,low_vol,size,growth,dividend,profitability
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,1.0,1.0152252316231851,1.0,1.0,0.9870821142091375,1.0,1.0,1.0
2021-01-06,1.0,1.023285855022058,1.0,1.0,0.9866145830029116,1.0,1.0,1.0
2021-01-07,1.0,1.0244141436518606,1.0,1.0,0.9782382946686377,1.0,1.0,1.0
2021-01-08,1.0,1.0127982371704518,1.0,1.0,0.98417510365816,1.0,1.0,1.0
2021-01-11,1.0,1.018144035323709,1.0,1.0,0.9774095901932778,1.0,1.0,1.0
2021-01-12,1.0,1.0376136989537723,1.0,1.0,0.9644629226202671,1.0,1.0,1.0
2021-01-13,1.0,1.045127496274425,1.0,1.0,0.9571012148954422,1.0,1.0,1.0
2021-01-14,1.0,1.0701274460298271,1.0,1.0,0.9336261426485372,1.0,1.0,1.0
2021-01-15,1.0,1.0536490599116095,1.0,1.0,0.9457435366890393,1.0,1.0,1.0
2021-01-19,1.0,1.0552943591293762,1.0,1.0,0.9365701794834417,1.0,1.0,1.0
2021-01-20,1.0,1.046937791835932,1.0,1.0,0.9388370137731898,1.0,1.0,1.0
2021-01-21,1.0,1.0428078416397084,1.0,1.0,0.936880619195071,1.0,1.0,1.0
2021-01-22,1.0,1.0441395483039368,1.0,1.0,0.9356354589507656,1.0,1.0,1.0
2021-01-25,1.0,1.0448899782839298,1.0,1.0,0.9328453875218579,1.0,1.0,1.0
2021-01-26,1.0,1.044031527949326,1.0,1.0,0.9288535990149936,1.0,1.0,1.0
2021-01-27,1.0,1.0572341234191882,1.0,1.0,0.9257536152096333,1.0,1.0,1.0
2021-01-28,1.0,1.0480326809406195,1.0,1.0,0.9349111439918765,1.0,1.0,1.0
2021-01-29,1.0,1.0441531366583687,1.0,1.0,0.9364319384882509,1.0,1.0,1.0
2021-02-01,1.0,1.033437606697576,1.0,1.0,0.9426384254392044,1.0,1.0,1.0
2021-02-02,1.0,1.0260450570063118,1.0,1.0,0.9464415926357658,1.0,1.0,1.0
2021-02-03,1.0,1.055549666334406,1.0,1.0,0.933090037256788,1.0,1.0,1.0
2021-02-04,1.0,1.0505275781792318,1.0,1.0,0.9338457739082588,1.0,1.0,1.0
2021-02-05,1.0,1.0515759848923045,1.0,1.0,0.9338365927495312,1.0,1.0,1.0
2021-02-08,1.0,1.0656147587937832,1.0,1.0,0.924728469185198,1.0,1.0,1.0
2021-02-09,1.0,1.0620794363410035,1.0,1.0,0.9301323452080588,1.0,1.0,1.0
2021-02-10,1.0,1.062804336946504,1.0,1.0,0.9349009612424459,1.0,1.0,1.0
2021-02-11,1.0,1.0472075938653298,1.0,1.0,0.9465006253150742,1.0,1.0,1.0
2021-02-12,1.0,1.0477654193497157,1.0,1.0,0.9443317836889115,1.0,1.0,1.0
2021-02-16,1.0,1.063173004202939,1.0,1.0,0.9311483507716781,1.0,1.0,1.0
2021-02-17,1.0,1.0682264047751011,1.0,1.0,0.926802178356586,1.0,1.0,1.0
2021-02-18,1.0,1.0590138889558498,1.0,1.0,0.9336280103152698,1.0,1.0,1.0
2021-02-19,1.0,1.0724024005351098,1.0,1.0,0.9278201946774408,1.0,1.0,1.0
2021-02-22,1.0,1.0876324502691455,1.0,1.0,0.9270663495865715,1.0,1.0,1.0
2021-02-23,1.0,1.0880865492490757,1.0,1.0,0.9293803849940178,1.0,1.0,1.0
2021-02-24,1.0,1.1030795460448386,1.0,1.0,0.9234834115854735,1.0,1.0,1.0
2021-02-25,1.0,1.0937877896745083,1.0,1.0,0.9325114277278302,1.0,1.0,1.0
2021-02-26,1.0,1.0858314898256525,1.0,1.0,0.9331593211534138,1.0,1.0,1.0
2021-03-01,1.0,1.0881679529184196,1.0,1.0,0.9309794914842744,1.0,1.0,1.0
2021-03-02,1.0,1.0908210046694182,1.0,1.0,0.9319868833166919,1.0,1.0,1.0
2021-03-03,1.0,1.1098270468287614,1.0,1.0,0.9209332289021684,1.0,1.0,1.0
2021-03-04,1.0,1.129123874811096,1.0,1.0,0.9082939821831537,1.0,1.0,1.0
2021-03-05,1.0,1.1211452590819853,1.0,1.0,0.9187426934805215,1.0,1.0,1.0
2021-03-08,1.0,1.124354791849327,1.0,1.0,0.9261785535779666,1.0,1.0,1.0
2021-03-09,1.0,1.12061420620925,1.0,1.0,0.9187288165891268,1.0,1.0,1.0
2021-03-10,1.0,1.1269850616166621,1.0,1.0,0.9185190836149744,1.0,1.0,1.0
2021-03-11,1.0,1.1220205003629502,1.0,1.0,0.9145397873018665,1.0,1.0,1.0
2021-03-12,1.0,1.1241783015266553,1.0,1.0,0.913280927561195,1.0,1.0,1.0
2021-03-15,1.0,1.1155615698959183,1.0,1.0,0.9189412651754096,1.0,1.0,1.0
2021-03-16,1.0,1.1075147781777013,1.0,1.0,0.9185287968113114,1.0,1.0,1.0
2021-03-17,1.0,1.1160885372517282,1.0,1.0,0.9149202987697439,1.0,1.0,1.0
2021-03-18,1.0,1.1081041377148464,1.0,1.0,0.9259392001414617,1.0,1.0,1.0
2021-03-19,1.0,1.1068276254906142,1.0,1.0,0.9225051217501987,1.0,1.0,1.0
2021-03-22,1.0,1.0996768323854789,1.0,1.0,0.925766264087615,1.0,1.0,1.0
2021-03-23,1.0,1.0891961423574374,1.0,1.0,0.9366284573510588,1.0,1.0,1.0
2021-03-24,1.0,1.0815231101564107,1.0,1.0,0.9490117861504401,1.0,1.0,1.0
2021-03-25,1.0,1.084095564546883,1.0,1.0,0.9493907983237759,1.0,1.0,1.0
2021-03-26,1.0,1.074476597788929,1.0,1.0,0.9659194119442372,1.0,1.0,1.0
2021-03-29,1.0,1.0649347200494965,1.0,1.0,0.9694271349227278,1.0,1.0,1.0
2021-03-30,1.0,1.0703173900715213,1.0,1.0,0.9651304066377575,1.0,1.0,1.0
2021-03-31,1.0,1.0677432535017768,1.0,1.0,0.9623848308761346,1.0,1.0,1.0
2021-04-01,1.0,1.0661358588190544,1.0,1.0,0.9641274579603173,1.0,1.0,1.0
2021-04-05,1.0,1.0623433924057024,1.0,1.0,0.9656965430300227,1.0,1.0,1.0
2021-04-06,1.0,1.0615144791134417,1.0,1.0,0.9673149485996685,1.0,1.0,1.0
2021-04-07,1.0,1.0672346513082416,1.0075872497372018,1.0,0.9616511337358091,1.0,1.0,1.0
2021-04-08,1.0,1.0542014953842553,1.0018603383499853,1.0,0.9682896757003534,1.0,1.0,1.0
2021-04-09,1.0,1.0447904115188722,1.0051806443074138,1.0,0.975358083265505,1.0,1.0,1.0
2021-04-12,1.0,1.0358492587037076,1.0180311723919415,1.0,0.9855290926957828,1.0,1.0,1.0
2021-04-13,1.0,1.0383039985632223,1.0128283155777804,1.0,0.982553441466165,1.0,1.0,1.0
2021-04-14,1.0,1.044176416061673,1.0106804450859308,1.0,0.9810616245754746,1.0,1.0,1.0
2021-04-15,1.0,1.0306732288299738,1.0204921039710855,1.0,0.9910820986639131,1.0,1.0,1.0
2021-04-16,1.0,1.0238026932989586,1.0288079678098045,1.0,0.9951399820248584,1.0,1.0,1.0
2021-04-19,1.0,1.02071479016511,1.0459453667834389,1.0,1.0017597543526937,1.0,1.0,1.0
2021-04-20,1.0,1.0055238253835208,1.0781619508448534,1.0,1.0147887025239823,1.0,1.0,1.0
2021-04-21,1.0,1.0163987427714853,1.0505942782398967,1.0,1.0055544996217656,1.0,1.0,1.0
2021-04-22,1.0,1.006585308325866,1.0510321265965343,1.0,1.018831472623948,1.0,1.0,1.0
