,0
2021-01-04,transition
2021-01-05,transition
2021-01-06,transition
2021-01-07,transition
2021-01-08,transition
2021-01-11,transition
2021-01-12,transition
2021-01-13,transition
2021-01-14,transition
2021-01-15,transition
2021-01-19,transition
2021-01-20,transition
2021-01-21,transition
2021-01-22,transition
2021-01-25,transition
2021-01-26,transition
2021-01-27,transition
2021-01-28,transition
2021-01-29,transition
2021-02-01,transition
2021-02-02,transition
2021-02-03,transition
2021-02-04,transition
2021-02-05,transition
2021-02-08,transition
2021-02-09,transition
2021-02-10,transition
2021-02-11,transition
2021-02-12,transition
2021-02-16,transition
2021-02-17,transition
2021-02-18,transition
2021-02-19,transition
2021-02-22,transition
2021-02-23,transition
2021-02-24,transition
2021-02-25,transition
2021-02-26,transition
2021-03-01,transition
2021-03-02,transition
2021-03-03,transition
2021-03-04,transition
2021-03-05,transition
2021-03-08,transition
2021-03-09,transition
2021-03-10,transition
2021-03-11,transition
2021-03-12,transition
2021-03-15,transition
2021-03-16,transition
2021-03-17,transition
2021-03-18,transition
2021-03-19,transition
2021-03-22,transition
2021-03-23,transition
2021-03-24,transition
2021-03-25,transition
2021-03-26,transition
2021-03-29,transition
2021-03-30,transition
2021-03-31,transition
2021-04-01,transition
2021-04-05,transition
2021-04-06,low_vol
2021-04-07,low_vol
2021-04-08,low_vol
2021-04-09,low_vol
2021-04-12,low_vol
2021-04-13,low_vol
2021-04-14,low_vol
2021-04-15,low_vol
2021-04-16,low_vol
2021-04-19,low_vol
2021-04-20,low_vol
2021-04-21,low_vol
2021-04-22,low_vol
2021-04-23,low_vol
2021-04-26,low_vol
2021-04-27,low_vol
2021-04-28,low_vol
2021-04-29,low_vol
2021-04-30,low_vol
2021-05-03,low_vol
2021-05-04,low_vol
2021-05-05,low_vol
2021-05-06,low_vol
2021-05-07,low_vol
2021-05-10,low_vol
2021-05-11,low_vol
2021-05-12,transition
2021-05-13,low_vol
2021-05-14,low_vol
2021-05-17,low_vol
2021-05-18,transition
2021-05-19,low_vol
2021-05-20,low_vol
2021-05-21,low_vol
2021-05-24,low_vol
2021-05-25,low_vol
2021-05-26,low_vol
2021-05-27,low_vol
2021-05-28,low_vol
2021-06-01,low_vol
2021-06-02,low_vol
2021-06-03,low_vol
2021-06-04,low_vol
2021-06-07,low_vol
2021-06-08,low_vol
2021-06-09,low_vol
2021-06-10,low_vol
2021-06-11,low_vol
2021-06-14,low_vol
2021-06-15,low_vol
2021-06-16,low_vol
2021-06-17,low_vol
2021-06-18,low_vol
2021-06-21,low_vol
2021-06-22,low_vol
2021-06-23,low_vol
2021-06-24,low_vol
2021-06-25,low_vol
2021-06-28,low_vol
2021-06-29,low_vol
2021-06-30,low_vol
2021-07-01,low_vol
2021-07-02,low_vol
2021-07-06,low_vol
2021-07-07,low_vol
2021-07-08,low_vol
2021-07-09,low_vol
2021-07-12,low_vol
2021-07-13,low_vol
2021-07-14,low_vol
2021-07-15,transition
2021-07-16,transition
2021-07-19,transition
2021-07-20,transition
2021-07-21,transition
2021-07-22,low_vol
2021-07-23,low_vol
2021-07-26,low_vol
2021-07-27,low_vol
2021-07-28,low_vol
2021-07-29,transition
2021-07-30,low_vol
2021-08-02,transition
2021-08-03,low_vol
2021-08-04,low_vol
2021-08-05,low_vol
2021-08-06,transition
2021-08-09,low_vol
2021-08-10,low_vol
2021-08-11,low_vol
2021-08-12,low_vol
2021-08-13,low_vol
2021-08-16,low_vol
2021-08-17,low_vol
2021-08-18,low_vol
2021-08-19,low_vol
2021-08-20,low_vol
2021-08-23,low_vol
2021-08-24,low_vol
2021-08-25,low_vol
2021-08-26,low_vol
2021-08-27,low_vol
2021-08-30,low_vol
2021-08-31,low_vol
2021-09-01,low_vol
2021-09-02,low_vol
2021-09-03,low_vol
2021-09-07,low_vol
2021-09-08,low_vol
2021-09-09,low_vol
2021-09-10,transition
2021-09-13,low_vol
2021-09-14,transition
2021-09-15,low_vol
2021-09-16,low_vol
2021-09-17,low_vol
2021-09-20,transition
2021-09-21,transition
2021-09-22,transition
2021-09-23,transition
2021-09-24,transition
2021-09-27,transition
2021-09-28,transition
2021-09-29,transition
2021-09-30,transition
2021-10-01,transition
2021-10-04,transition
2021-10-05,transition
2021-10-06,transition
2021-10-07,transition
2021-10-08,transition
2021-10-11,transition
2021-10-12,transition
2021-10-13,transition
2021-10-14,transition
2021-10-15,transition
2021-10-18,transition
2021-10-19,transition
2021-10-20,transition
2021-10-21,transition
2021-10-22,transition
2021-10-25,transition
2021-10-26,transition
2021-10-27,transition
2021-10-28,transition
2021-10-29,transition
2021-11-01,transition
2021-11-02,low_vol
2021-11-03,low_vol
2021-11-04,low_vol
2021-11-05,low_vol
2021-11-08,low_vol
2021-11-09,low_vol
2021-11-10,transition
2021-11-11,transition
2021-11-12,transition
2021-11-15,low_vol
2021-11-16,low_vol
2021-11-17,low_vol
2021-11-18,low_vol
2021-11-19,transition
2021-11-22,transition
2021-11-23,transition
2021-11-24,low_vol
2021-11-26,transition
2021-11-29,transition
2021-11-30,transition
2021-12-01,transition
2021-12-02,transition
2021-12-03,transition
2021-12-06,transition
2021-12-07,transition
2021-12-08,transition
2021-12-09,transition
2021-12-10,low_vol
2021-12-13,low_vol
2021-12-14,transition
2021-12-15,low_vol
2021-12-16,low_vol
2021-12-17,low_vol
2021-12-20,transition
2021-12-21,low_vol
2021-12-22,low_vol
2021-12-23,low_vol
2021-12-27,low_vol
2021-12-28,low_vol
2021-12-29,low_vol
2021-12-30,low_vol
2021-12-31,low_vol
2022-01-03,low_vol
2022-01-04,low_vol
2022-01-05,low_vol
2022-01-06,low_vol
2022-01-07,low_vol
2022-01-10,low_vol
2022-01-11,low_vol
2022-01-12,low_vol
2022-01-13,transition
2022-01-14,transition
2022-01-18,transition
2022-01-19,transition
2022-01-20,transition
2022-01-21,transition
2022-01-24,transition
2022-01-25,transition
2022-01-26,transition
2022-01-27,transition
2022-01-28,transition
2022-01-31,transition
2022-02-01,transition
2022-02-02,transition
2022-02-03,transition
2022-02-04,transition
2022-02-07,transition
2022-02-08,transition
2022-02-09,transition
2022-02-10,transition
2022-02-11,transition
2022-02-14,high_vol
2022-02-15,transition
2022-02-16,transition
2022-02-17,high_vol
2022-02-18,high_vol
2022-02-22,high_vol
2022-02-23,high_vol
2022-02-24,high_vol
2022-02-25,high_vol
2022-02-28,transition
2022-03-01,high_vol
2022-03-02,transition
2022-03-03,transition
2022-03-04,high_vol
2022-03-07,high_vol
2022-03-08,high_vol
2022-03-09,high_vol
2022-03-10,high_vol
2022-03-11,high_vol
2022-03-14,high_vol
2022-03-15,high_vol
2022-03-16,high_vol
2022-03-17,high_vol
2022-03-18,transition
2022-03-21,transition
2022-03-22,transition
2022-03-23,transition
2022-03-24,transition
2022-03-25,transition
2022-03-28,transition
2022-03-29,transition
2022-03-30,transition
2022-03-31,high_vol
2022-04-01,transition
2022-04-04,transition
2022-04-05,high_vol
2022-04-06,transition
2022-04-07,transition
2022-04-08,transition
2022-04-11,high_vol
2022-04-12,high_vol
2022-04-13,high_vol
2022-04-14,high_vol
2022-04-18,high_vol
2022-04-19,transition
2022-04-20,transition
2022-04-21,transition
2022-04-22,transition
2022-04-25,transition
2022-04-26,transition
2022-04-27,transition
2022-04-28,transition
2022-04-29,high_vol
2022-05-02,high_vol
2022-05-03,high_vol
2022-05-04,high_vol
2022-05-05,high_vol
2022-05-06,high_vol
2022-05-09,high_vol
2022-05-10,high_vol
2022-05-11,high_vol
2022-05-12,high_vol
2022-05-13,high_vol
2022-05-16,high_vol
2022-05-17,high_vol
2022-05-18,high_vol
2022-05-19,high_vol
2022-05-20,high_vol
2022-05-23,high_vol
2022-05-24,high_vol
2022-05-25,high_vol
2022-05-26,high_vol
2022-05-27,transition
2022-05-31,transition
2022-06-01,high_vol
2022-06-02,transition
2022-06-03,high_vol
2022-06-06,transition
2022-06-07,transition
2022-06-08,transition
2022-06-09,high_vol
2022-06-10,high_vol
2022-06-13,high_vol
2022-06-14,high_vol
2022-06-15,high_vol
2022-06-16,high_vol
2022-06-17,high_vol
2022-06-21,high_vol
2022-06-22,high_vol
2022-06-23,high_vol
2022-06-24,high_vol
2022-06-27,high_vol
2022-06-28,high_vol
2022-06-29,high_vol
2022-06-30,high_vol
2022-07-01,high_vol
2022-07-05,high_vol
2022-07-06,high_vol
2022-07-07,high_vol
2022-07-08,high_vol
2022-07-11,high_vol
2022-07-12,high_vol
2022-07-13,high_vol
2022-07-14,high_vol
2022-07-15,high_vol
2022-07-18,high_vol
2022-07-19,high_vol
2022-07-20,high_vol
2022-07-21,high_vol
2022-07-22,high_vol
2022-07-25,high_vol
2022-07-26,high_vol
2022-07-27,transition
2022-07-28,transition
2022-07-29,transition
2022-08-01,transition
2022-08-02,transition
2022-08-03,transition
2022-08-04,transition
2022-08-05,transition
2022-08-08,transition
2022-08-09,transition
2022-08-10,transition
2022-08-11,transition
2022-08-12,transition
2022-08-15,transition
2022-08-16,transition
2022-08-17,transition
2022-08-18,transition
2022-08-19,transition
2022-08-22,transition
2022-08-23,transition
2022-08-24,transition
2022-08-25,transition
2022-08-26,transition
2022-08-29,transition
2022-08-30,transition
2022-08-31,transition
2022-09-01,high_vol
2022-09-02,transition
2022-09-06,high_vol
2022-09-07,transition
2022-09-08,transition
2022-09-09,transition
2022-09-12,transition
2022-09-13,transition
2022-09-14,transition
2022-09-15,transition
2022-09-16,transition
2022-09-19,transition
2022-09-20,transition
2022-09-21,transition
2022-09-22,transition
2022-09-23,high_vol
2022-09-26,high_vol
2022-09-27,transition
2022-09-28,transition
2022-09-29,transition
2022-09-30,high_vol
2022-10-03,transition
2022-10-04,transition
2022-10-05,transition
2022-10-06,transition
2022-10-07,high_vol
2022-10-10,high_vol
2022-10-11,high_vol
2022-10-12,high_vol
2022-10-13,high_vol
2022-10-14,high_vol
2022-10-17,high_vol
2022-10-18,high_vol
2022-10-19,high_vol
2022-10-20,high_vol
2022-10-21,high_vol
2022-10-24,transition
2022-10-25,transition
2022-10-26,high_vol
2022-10-27,high_vol
2022-10-28,high_vol
2022-10-31,high_vol
2022-11-01,high_vol
2022-11-02,high_vol
2022-11-03,high_vol
2022-11-04,high_vol
2022-11-07,high_vol
2022-11-08,high_vol
2022-11-09,high_vol
2022-11-10,high_vol
2022-11-11,high_vol
2022-11-14,high_vol
