window,start_date,end_date,train_end,sharpe,return,drawdown,win_rate,trades
1,2015-10-19,2016-10-17,2016-06-29,0.0,0.0,0.0,0.0,0
2,2016-01-20,2017-01-18,2016-09-28,2.79733508218109,0.06067639151812099,0.0,1.0,2
3,2016-04-20,2017-04-19,2016-12-28,0.0,0.0,0.0,0.0,0
4,2016-07-20,2017-07-19,2017-03-30,0.0,0.0,0.0,0.0,0
5,2016-10-18,2017-10-17,2017-06-29,-1.818439980488995,-0.010115898293360903,-0.010115898293360952,0.0,1
6,2017-01-19,2018-01-18,2017-09-28,0.0,0.0,0.0,0.0,0
7,2017-04-20,2018-04-19,2017-12-28,0.0,0.0,0.0,0.0,0
8,2017-07-20,2018-07-19,2018-04-02,0.0,0.0,0.0,0.0,0
9,2017-10-18,2018-10-17,2018-06-29,0.0,0.0,0.0,0.0,0
10,2018-01-19,2019-01-18,2018-09-28,-1.8024801022445789,-0.017587152363365277,-0.017587152363365312,0.0,1
11,2018-04-20,2019-04-22,2018-12-31,0.0,0.0,0.0,0.0,0
12,2018-07-20,2019-07-22,2019-04-02,2.8162213154166182,0.08670772211469235,0.0,1.0,3
13,2018-10-18,2019-10-18,2019-07-02,-1.8510897301173321,-0.010452192739408894,-0.010452192739408929,0.0,1
14,2019-01-22,2020-01-21,2019-10-01,0.0,0.0,0.0,0.0,0
15,2019-04-23,2020-04-21,2019-12-31,0.0,0.0,0.0,0.0,0
16,2019-07-23,2020-07-21,2020-04-01,0.0,0.0,0.0,0.0,0
17,2019-10-21,2020-10-19,2020-07-01,0.0,0.0,0.0,0.0,0
18,2020-01-22,2021-01-20,2020-09-30,0.0,0.0,0.0,0.0,0
19,2020-04-22,2021-04-21,2020-12-30,0.0,0.0,0.0,0.0,0
20,2020-07-22,2021-07-21,2021-04-01,0.0,0.0,0.0,0.0,0
21,2020-10-20,2021-10-19,2021-07-01,-1.7966407309255297,-0.020333462275581082,-0.020333462275581114,0.0,2
22,2021-01-21,2022-01-19,2021-09-30,0.0,0.0,0.0,0.0,0
23,2021-04-22,2022-04-20,2021-12-30,-3.158708368025879,-0.06666065172766411,-0.06666065172766408,0.0,6
24,2021-07-22,2022-07-21,2022-03-31,0.0,0.0,0.0,0.0,0
25,2021-10-20,2022-10-19,2022-07-01,-2.3014772632184517,-0.04070411385615613,-0.04070411385615618,0.0,4
26,2022-01-20,2023-01-20,2022-09-30,0.0,0.0,0.0,0.0,0
27,2022-04-21,2023-04-21,2022-12-30,-4.075378049058394,-0.06759436945627206,-0.0675943694562721,0.0,7
28,2022-07-22,2023-07-24,2023-04-03,0.0,0.0,0.0,0.0,0
29,2022-10-20,2023-10-20,2023-07-05,-1.8687950199013854,-0.010209342900416085,-0.010209342900416087,0.0,1
